,BTC Price,Stock Price,BTC Holdings,Shares Outstanding,mNAV,Market Cap (USD),BTC per 1000 Shares,Market Cap to Dividends Ratio
2025,147600.2487511271,10.875125955195186,14420.8003645923,694974683.5673386,3.5596514169091247,17543216579.825806,0.020750108896873246,
2026,248830.3616531072,42.05051566078915,50792.90718471737,960024273.2554786,3.163116945137972,103818053405.652,0.052907940559124296,4062.7654004213014
2027,359231.64738862496,89.43613679618424,111352.14940224262,1234986795.4051294,2.760970657375474,328785219620.4551,0.09016464776509149,6688.644155569133
2028,576737.0311604269,181.93151370328158,193455.11337783054,1520614922.6383474,2.4965218644270912,916634205976.4976,0.127221632839283,9778.698849786906
2029,1082992.1638686496,411.55945101423106,327182.41585867875,1890393655.2072985,2.191234037573116,2911999980016.842,0.17307634045290968,16567.205831792136
2030,1637691.4766276483,664.1849265935881,469660.21944133134,2233749375.1876445,1.9441002115267656,6317453356051.044,0.21025645251803501,19754.320359573325
2031,2207752.575895722,1071.9451301966233,656991.0745656352,2652808581.546655,1.964845582133761,11904797955969.203,0.2476586811184818,21519.522393469564
2032,3297031.3931325646,1740.0139915580964,882702.0428310077,3101573591.272998,1.8411403470926127,23895832448760.605,0.2845981295799965,26945.458930607856
2033,5702701.227295468,3025.269570273493,1171680.1135270498,3664681988.598308,1.6445279577099363,54849964919283.54,0.3197221797614155,42589.24403491889
2034,8421349.67156515,4554.470269854074,1461956.6262294957,4208567532.098523,1.5497302465799305,101076245938510.84,0.3473763020503365,60116.330632620775
2035,10642341.10821227,5672.139049909308,1802120.3780709307,4842970788.630565,1.4233493548091725,157402873389026.56,0.372110519910964,78803.78508048119
2036,15121971.994669827,8528.585741701192,2123463.4709969168,5442799215.129094,1.4548208621113696,263603011017197.88,0.39014179782609376,119133.30801890085
2037,25617794.470068738,13077.652971249234,2515207.6892488636,6183193856.56995,1.2542549691092366,529003475858942.4,0.4067813087529725,225765.08127168583
2038,36903434.64334832,19110.10694399799,2917756.6407529805,6986009016.165561,1.2426633264786497,883949143583514.8,0.4176571536053444,365769.66015408875
2039,43807041.54499287,22903.912190739607,3352809.947714507,7839048527.969,1.2159626289756356,1206195893255449.8,0.42770623701996374,491041.8697129929
2040,62837303.11374757,30552.75328072896,3746772.4706823016,8635756638.453241,1.114542349664293,1933566929235128.8,0.433867306310914,780492.2157209843
