,is_trading_day,btc_holdings,btc_price,preferred_shares,dividend_reserve,quarterly_dividend,shares_outstanding,btc_purchased,stock_price,volume,mnav,market_cap,weekly_revenue,dividend_dilution
2025-09-04,True,20000.0,110723.6015625,0,0.0,0.0,751210000.0,0.0,6.198520414182869,38053998.294665284,2.1027091128849915,7292407896.503331,0.0,
2025-09-05,True,20000.0,110650.984375,0,0.0,0.0,751210000.0,0.0,6.3429082494167535,39881634.0843436,2.1531015439935435,7287625229.176096,0.0,
2025-09-06,False,20000.0,110224.6953125,0,0.0,0.0,751210000.0,0.0,6.3429082494167535,0.0,2.09011086168414,7259549248.249723,0.0,
2025-09-07,False,20000.0,111167.6171875,0,0.0,0.0,751210000.0,0.0,6.3429082494167535,0.0,2.1674224956891472,7321651373.090327,0.0,
2025-09-08,True,20367.002038490537,111868.625,0,0.0,0.0,757396619.4453251,367.00203849053656,6.636259718408364,41244129.63550121,2.2281603367635685,7367820706.775702,0.0,
2025-09-09,True,20367.002038490537,111868.625,0,0.0,0.0,757396619.4453251,0.0,6.651143599169433,42291415.683507785,2.210977280081053,7503020967.706676,0.0,
2025-09-10,True,20754.709337097207,128648.91875,0,0.0,0.0,763871795.2670647,387.70729860667086,7.702976124566758,43167838.81159691,2.2266331308604057,8628474112.862677,829660.9723906419,
2025-09-11,True,21182.381777052036,129909.4470634769,0,0.0,0.0,770832486.6646216,427.67243995483,7.981777531226283,46404609.31704621,2.261323540261397,8878879112.385454,853738.3761909091,
2025-09-12,True,21182.381777052036,132359.41964608256,0,0.0,0.0,770832486.6646216,0.0,8.009188788447453,45637555.6948269,2.20200801274558,9232735596.83149,887763.038156874,
2025-09-13,False,21182.381777052036,113684.25403306405,0,0.0,0.0,770832486.6646216,0.0,8.009188788447453,0.0,2.1559226236910534,7930048815.6935625,762504.6938166887,
2025-09-14,False,21182.381777052036,114934.65699724722,0,0.0,0.0,770832486.6646216,0.0,8.009188788447453,0.0,2.184860639398403,8017270714.887944,770891.4148930715,
2025-09-15,True,21182.381777052036,123396.75110171355,0,0.0,0.0,770832486.6646216,0.0,7.521088039378233,43631759.49678709,2.2180031853622304,8607544362.739775,827648.496417286,
2025-09-16,True,21182.381777052036,104887.23843645652,0,0.0,0.0,770832486.6646216,0.0,6.444633610844063,44186608.88724284,2.235943367033545,7316412708.328807,703501.221954693,
2025-09-17,True,21566.57675594267,109650.66806462877,0,0.0,0.0,777031463.0610075,384.19497889063393,6.795837475199144,41326509.30923906,2.2553654358342787,7648685896.052243,735450.5669281003,
2025-09-18,True,21566.57675594267,99968.6935545725,0,0.0,0.0,777031463.0610075,0.0,6.009036287145937,45042118.58806429,2.1656995137309045,7099797877.691085,682672.872854912,
2025-09-19,True,21916.796979980132,113449.67589940547,0,0.0,0.0,783012353.2649572,350.2202240374624,6.643220249090826,39872601.35966434,2.1097586718817043,8057220110.970418,774732.7029779248,
2025-09-20,False,21916.796979980132,126546.67104375802,0,0.0,0.0,783012353.2649572,0.0,6.643220249090826,0.0,2.02775300128643,9133317660.666203,878203.6212179041,
2025-09-21,False,21916.796979980132,141950.8568738645,0,0.0,0.0,783012353.2649572,0.0,6.643220249090826,0.0,2.00883612231556,10245091849.033802,985104.9854840194,
2025-09-22,True,22226.70752031526,142249.39476767895,0,0.0,0.0,788634004.4615145,309.91054033512876,7.841928510576025,37477674.643715255,1.9695362595504116,10266638377.24718,987176.7670429982,
2025-09-23,True,22226.70752031526,120911.98555252711,0,0.0,0.0,788634004.4615145,0.0,6.4922780462614655,39274441.298874855,1.905145383180533,8850040146.87485,850965.3987379663,
2025-09-24,True,22541.990294856187,128876.48899264226,0,0.0,0.0,794594804.2363939,315.28277454092733,6.816625043158,39738665.16586272,1.876705272776592,9432994556.83548,907018.7073880269,
2025-09-25,True,22541.990294856187,131281.6165237204,0,0.0,0.0,794594804.2363939,0.0,6.9708713575654,37531734.4829235,1.8717016144534275,9745338468.401888,937051.7758078738,
2025-09-26,True,22541.990294856187,116303.05716788639,0,0.0,0.0,794594804.2363939,0.0,6.277674072439043,39620064.59773823,1.9026595953071717,8633445314.151493,830138.9725145666,
2025-09-27,False,22541.990294856187,131433.1839275429,0,0.0,0.0,794594804.2363939,0.0,6.277674072439043,0.0,1.8259075614340756,9756589667.84732,938133.6219083962,
